Credits,Range in LY,Credits per LY
6026100,14887,404.7894135823
5461380,7448,733.27
4961880,6522,760.79
17069400,21360,799.1292134831
1336000,1670,800
11538000,14030,822.38
16056360,19484,824.08
1640700,1823,900
18400800,20419,901.16
13580325,14919,910.27
12071025,12683,951.75
7281840,7447,977.8219417215
26258400,26220,1001.46
5545920,5277,1050.96
5529600,5260,1051.2547528517
22528800,21040,1070.76
22537440,21028,1071.78
22065840,20397,1081.82
21919680,20194,1085.46
3149760,2781,1132.5997842503
7434720,6512,1141.7
6239160,5277,1182.33
2202000,1836,1199.35
1747200,1456,1200
2004000,1670,1200
34725120,25922,1339.6
2290950,1697,1350
4179200,2765,1511.4647377939
33098760,20397,1622.7268715988
32879520,20194,1628.18
32127840,19498,1647.75
51229080,30408,1684.7237569061
4685760,2754,1701.44
43783740,24499,1787.1643740561
27939600,15620,1788.7067861716
4177600,2111,1978.9673140692
28833000,14022,2056.268720582
32599980,15623,2086.6658132241
46460160,22015,2110.39
44161920,20419,2162.79
44131680,20397,2163.6358287984
42796800,19470,2198.09
4099500,1822,2250
3757500,1670,2250
2688750,1195,2250
6268800,2765,2267.2
14515200,6260,2318.7220447284
60732000,25900,2344.8648648649
37707840,15936,2366.2048192771
49068800,20418,2403.2128514056
18204600,7447,2444.55
54227040,22028,2461.73
54203520,22014,2462.23
54183360,22002,2462.6561221707
34608600,14027,2467.28
69450240,25922,2679.2
44004240,15943,2760.1
61973760,22028,2813.41
7836000,2765,2834
58882560,20418,2883.8554216868
57062400,19470,2930.7858243452
4368000,1457,2997.94
5025000,1675,3000
4368000,1456,3000
6549480,2100,3118.8
50290560,15943,3154.4
50290560,15943,3154.4
6681600,2110,3166.6350710901
26136600,7705,3392.16
9446400,2780,3397.9856115108
9403200,2765,3400.8
10970400,2765,3967.59
8732640,2100,4158.4
4615800,1099,4200
5827200,1214,4800
